LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
COL;SIGI;RESTRRESASSETS;IDX;A;2019;14.5;
HRV;SIGI;RESTRRESASSETS;IDX;A;2019;29.1;
CYP;SIGI;RESTRRESASSETS;IDX;A;2019;19.3;
EGY;SIGI;RESTRRESASSETS;IDX;A;2019;64.6;
EST;SIGI;RESTRRESASSETS;IDX;A;2019;4.6;
ETH;SIGI;RESTRRESASSETS;IDX;A;2019;34;
GEO;SIGI;RESTRRESASSETS;IDX;A;2019;27.3;
GHA;SIGI;RESTRRESASSETS;IDX;A;2019;30.7;
HTI;SIGI;RESTRRESASSETS;IDX;A;2019;22;
HKG;SIGI;RESTRRESASSETS;IDX;A;2019;13.4;
IND;SIGI;RESTRRESASSETS;IDX;A;2019;36.9;
IDN;SIGI;RESTRRESASSETS;IDX;A;2019;36.5;
IRN;SIGI;RESTRRESASSETS;IDX;A;2019;22.5;
ISR;SIGI;RESTRRESASSETS;IDX;A;2019;28.3;
KAZ;SIGI;RESTRRESASSETS;IDX;A;2019;30.6;
LVA;SIGI;RESTRRESASSETS;IDX;A;2019;4.6;
LTU;SIGI;RESTRRESASSETS;IDX;A;2019;4.6;
MKD;SIGI;RESTRRESASSETS;IDX;A;2019;13.4;
MDA;SIGI;RESTRRESASSETS;IDX;A;2019;36.7;
MOZ;SIGI;RESTRRESASSETS;IDX;A;2019;15.3;
NGA;SIGI;RESTRRESASSETS;IDX;A;2019;41.4;
PAK;SIGI;RESTRRESASSETS;IDX;A;2019;60.1;
PRY;SIGI;RESTRRESASSETS;IDX;A;2019;31.7;
PER;SIGI;RESTRRESASSETS;IDX;A;2019;5.5;
PHL;SIGI;RESTRRESASSETS;IDX;A;2019;67.2;
ROU;SIGI;RESTRRESASSETS;IDX;A;2019;7.1;
RUS;SIGI;RESTRRESASSETS;IDX;A;2019;15.1;
SAU;SIGI;RESTRRESASSETS;IDX;A;2019;40.7;
SGP;SIGI;RESTRRESASSETS;IDX;A;2019;11.9;
SVN;SIGI;RESTRRESASSETS;IDX;A;2019;9;
ZAF;SIGI;RESTRRESASSETS;IDX;A;2019;19.6;
TZA;SIGI;RESTRRESASSETS;IDX;A;2019;30;
THA;SIGI;RESTRRESASSETS;IDX;A;2019;25.2;
UKR;SIGI;RESTRRESASSETS;IDX;A;2019;18.5;
ARE;SIGI;RESTRRESASSETS;IDX;A;2019;28.5;
URY;SIGI;RESTRRESASSETS;IDX;A;2019;26.6;
VNM;SIGI;RESTRRESASSETS;IDX;A;2019;32.3;
ZMB;SIGI;RESTRRESASSETS;IDX;A;2019;28.2;
SRB;SIGI;RESTRRESASSETS;IDX;A;2019;19.8;
AFG;SIGI;RESTRRESASSETS;IDX;A;2019;45.6;
BEN;SIGI;RESTRRESASSETS;IDX;A;2019;36.2;
BOL;SIGI;RESTRRESASSETS;IDX;A;2019;27.4;
BWA;SIGI;RESTRRESASSETS;IDX;A;2019;39.9;
BFA;SIGI;RESTRRESASSETS;IDX;A;2019;32.9;
CMR;SIGI;RESTRRESASSETS;IDX;A;2019;77.7;
CAF;SIGI;RESTRRESASSETS;IDX;A;2019;35.1;
TCD;SIGI;RESTRRESASSETS;IDX;A;2019;61.9;
CRI;SIGI;RESTRRESASSETS;IDX;A;2019;27.5;
CIV;SIGI;RESTRRESASSETS;IDX;A;2019;76.1;
COD;SIGI;RESTRRESASSETS;IDX;A;2019;46.4;
DOM;SIGI;RESTRRESASSETS;IDX;A;2019;11.9;
ECU;SIGI;RESTRRESASSETS;IDX;A;2019;44;
SLV;SIGI;RESTRRESASSETS;IDX;A;2019;20;
GAB;SIGI;RESTRRESASSETS;IDX;A;2019;45.5;
GTM;SIGI;RESTRRESASSETS;IDX;A;2019;18.4;
GIN;SIGI;RESTRRESASSETS;IDX;A;2019;28.2;
HND;SIGI;RESTRRESASSETS;IDX;A;2019;24.1;
IRQ;SIGI;RESTRRESASSETS;IDX;A;2019;34.4;
JAM;SIGI;RESTRRESASSETS;IDX;A;2019;18.7;
JOR;SIGI;RESTRRESASSETS;IDX;A;2019;43.4;
KEN;SIGI;RESTRRESASSETS;IDX;A;2019;42.2;
KWT;SIGI;RESTRRESASSETS;IDX;A;2019;80.3;
KGZ;SIGI;RESTRRESASSETS;IDX;A;2019;28.8;
LAO;SIGI;RESTRRESASSETS;IDX;A;2019;20.2;
LBN;SIGI;RESTRRESASSETS;IDX;A;2019;45.1;
LSO;SIGI;RESTRRESASSETS;IDX;A;2019;40.5;
LBR;SIGI;RESTRRESASSETS;IDX;A;2019;41.5;
MDG;SIGI;RESTRRESASSETS;IDX;A;2019;39.2;
MWI;SIGI;RESTRRESASSETS;IDX;A;2019;37.4;
MLI;SIGI;RESTRRESASSETS;IDX;A;2019;39.9;
MUS;SIGI;RESTRRESASSETS;IDX;A;2019;19.2;
MNG;SIGI;RESTRRESASSETS;IDX;A;2019;20.1;
MAR;SIGI;RESTRRESASSETS;IDX;A;2019;37.8;
MMR;SIGI;RESTRRESASSETS;IDX;A;2019;35.5;
NAM;SIGI;RESTRRESASSETS;IDX;A;2019;26.2;
NPL;SIGI;RESTRRESASSETS;IDX;A;2019;34.7;
NIC;SIGI;RESTRRESASSETS;IDX;A;2019;16;
PSE;SIGI;RESTRRESASSETS;IDX;A;2019;64.9;
PAN;SIGI;RESTRRESASSETS;IDX;A;2019;16.1;
RWA;SIGI;RESTRRESASSETS;IDX;A;2019;26.5;
SEN;SIGI;RESTRRESASSETS;IDX;A;2019;27.6;
SLE;SIGI;RESTRRESASSETS;IDX;A;2019;44.8;
LKA;SIGI;RESTRRESASSETS;IDX;A;2019;45.6;
TJK;SIGI;RESTRRESASSETS;IDX;A;2019;34.1;
TGO;SIGI;RESTRRESASSETS;IDX;A;2019;43.5;
TTO;SIGI;RESTRRESASSETS;IDX;A;2019;20.4;
TUN;SIGI;RESTRRESASSETS;IDX;A;2019;35;
UGA;SIGI;RESTRRESASSETS;IDX;A;2019;61.4;
VEN;SIGI;RESTRRESASSETS;IDX;A;2019;12.7;
YEM;SIGI;RESTRRESASSETS;IDX;A;2019;43.2;
ZWE;SIGI;RESTRRESASSETS;IDX;A;2019;34.3;
MLT;SIGI;RESTRRESASSETS;IDX;A;2019;4.9;
MNE;SIGI;RESTRRESASSETS;IDX;A;2019;28.7;
